Time,x (km),y (km),z (km),Dx (km/s),Dy (km/s),Dz (km/s),Distance (km),Vel. (km/s)
2022-069/00:00.000000,-146900922.0584641,26577983.68343226,11638290.75242467,-6.299734803225669,-27.34614043805378,-11.66991703630436,149738839.08305725,30.392186809819393
2022-070/00:00.000000,-147422904.8926637,24211034.74315465,10628081.41586155,-5.782904631393154,-27.44301205775851,-11.71403054837912,149775309.06296867,30.393739626219517
2022-071/00:00.000000,-147900154.4971667,21836081.994387,9614206.165258454,-5.264266613044339,-27.53140902765354,-11.75477494925302,149812226.26120827,30.395159485167415
2022-072/00:00.000000,-148332521.0848583,19453859.19000551,8596956.455737036,-4.743969856609134,-27.61129550103954,-11.79214316520456,149849581.61128223,30.396439424294794
2022-073/00:00.000000,-148719867.9580498,17065103.0589749,7576624.365339004,-4.222168404609748,-27.68263938577043,-11.82612508500999,149887364.7264727,30.397573322977536
2022-074/00:00.000000,-149062072.2502265,14670552.77642965,6553502.652963137,-3.69902382035314,-27.74540757485723,-11.85671332112009,149925564.528936,30.398553740230987
2022-075/00:00.000000,-149359024.7497791,12270951.31972654,5527885.280813334,-3.174705839971273,-27.79956757017217,-11.88389597550342,149964169.17442,30.399370023332754
2022-076/00:00.000000,-149610631.8662657,9867043.622612957,4500067.162250448,-2.649390121714857,-27.84508357670368,-11.90765453621545,150003167.7056808,30.400003025731852
2022-077/00:00.000000,-149816814.9978506,7459578.314727354,3470344.838965296,-2.123252269243763,-27.88191364973341,-11.92797098320148,150042549.49191937,30.400424351415484
2022-078/00:00.000000,-149977510.5562398,5049307.620388419,2439016.674921247,-1.596463540505763,-27.91001758083256,-11.94482378016967,150082304.02826604,30.400601841704606
2022-079/00:00.000000,-150092669.5112927,2636987.094457099,1406382.788639002,-1.069189986986951,-27.92935856861589,-11.95819349578554,150122420.22599638,30.40050376170169
2022-080/00:00.000000,-150162257.0408559,223375.2417033638,372744.822532884,-0.54159504516267,-27.93990557570034,-11.96806434595442,150162885.81006098,30.40010218668518
2022-081/00:00.000000,-150186252.4073932,-2190767.037258996,-661594.23289941,-0.01384249700263753,-27.94163375376504,-11.97442334699177,150203686.969787,30.399373397115383
2022-082/00:00.000000,-150164649.2848805,-4604676.894536716,-1696330.759012427,0.5138996611942486,-27.93452359320982,-11.97726125807031,150244808.50331637,30.398297460309248
2022-083/00:00.000000,-150097455.9358544,-7017590.059556478,-2731159.966248302,1.041459381749579,-27.9185606878875,-11.97656735719082,150286233.84535584,30.396855662854673
2022-084/00:00.000000,-149984695.7506408,-9428741.196056524,-3765776.278230216,1.568659260854204,-27.89373539900467,-11.97233140841388,150327945.47565725,30.39503060928288
2022-085/00:00.000000,-149826407.6627921,-11837364.33342152,-4799873.177474174,2.095316884135525,-27.86004201991095,-11.9645422595449,150369925.2178412,30.392804504957798
2022-086/00:00.000000,-149622646.5838437,-14242693.1542442,-5833143.23557666,2.621244977015367,-27.81747868769272,-11.95318989451384,150412154.55888698,30.39015949981301
2022-087/00:00.000000,-149373483.7892715,-16643961.42532157,-6865277.990212593,3.14625210898961,-27.76604901178272,-11.93826086278086,150454614.9280714,30.387077063874486
2022-088/00:00.000000,-149079007.202783,-19040403.66193991,-7895968.119670108,3.670143924433929,-27.70576330914355,-11.91974754646668,150497287.9248124,30.38354256073249
2022-089/00:00.000000,-148739321.8141117,-21431254.88384673,-8924903.344161822,4.19272067683602,-27.63663385414146,-11.89763549204153,150540155.5709337,30.37953534475688
2022-090/00:00.000000,-148354551.6022711,-23815753.97734957,-9951772.577425515,4.713728223597831,-27.55874313685602,-11.87192554035891,150583202.56938806,30.375091326364398
2022-091/00:00.000000,-147924837.4879591,-26193141.17431685,-10976263.75921558,5.233070756458112,-27.4719963549511,-11.8425827854721,150626413.87395728,30.37009022540604
2022-092/00:00.000000,-147450333.8239178,-28562654.63056347,-11998062.97869955,5.750491155991205,-27.37648650230224,-11.80961044613235,150669770.3574625,30.36456916597481
2022-093/00:00.000000,-146931215.5109076,-30923538.96150881,-13016856.26747255,6.265784948537074,-27.27225695740282,-11.7729991951141,150713257.21549767,30.358517266495042
2022-094/00:00.000000,-146367675.1056517,-33275042.9832558,-14032328.84708295,6.778748624958292,-27.1593571668777,-11.73274311648201,150756860.72031286,30.35192540310682
2022-095/00:00.000000,-145759922.6668139,-35616419.74006584,-15044165.67786858,7.289180167375686,-27.03784178130739,-11.68883720344196,150800568.07545283,30.344784574487317
2022-096/00:00.000000,-145108185.5961523,-37946927.70299052,-16052051.39207178,7.796879951027102,-26.90777358195448,-11.64128239880103,150844367.48847166,30.337090697644204
2022-097/00:00.000000,-144412708.4595818,-40265830.90697204,-17055670.78859422,8.301650430840077,-26.76922460916178,-11.59007896551383,150888248.08218148,30.328842979554395
2022-098/00:00.000000,-143673752.7974854,-42572399.7319632,-18054708.69110107,8.803297177486066,-26.62226844245133,-11.53523113246004,150932199.90370354,30.320039173727157
2022-099/00:00.000000,-142891596.7178577,-44865911.31311221,-19048850.67011526,9.301630558006067,-26.46698742974502,-11.47674899247112,150976213.76358357,30.310683299458955
2022-100/00:00.000000,-142066534.5247218,-47145650.14605711,-20037783.2388124,9.796465639613286,-26.30346912511887,-11.41464588572097,151020281.14357364,30.300781635802927
2022-101/00:00.000000,-141198876.2803972,-49410908.4885635,-21021194.28907859,10.28762250598423,-26.13180676249591,-11.34893809750413,151064394.05052173,30.29034330342
2022-102/00:00.000000,-140288947.3091861,-51660986.90201764,-21998773.22685405,10.77492875666296,-25.95209838671376,-11.27964624617721,151108544.8553343,30.279381100407797
2022-103/00:00.000000,-139337087.4881048,-53895194.63968666,-22970211.29999761,11.25821776787147,-25.76444642830234,-11.206793155413,151152725.94989485,30.267910068154517
2022-104/00:00.000000,-138343650.8951769,-56112849.98190381,-23935202.03126109,11.73732981346905,-25.56895923208922,-11.13040705971241,151196929.7716574,30.25595063251667
2022-105/00:00.000000,-137309005.0341148,-58313280.87940191,-24893441.60133044,12.21211275861756,-25.36575148716663,-11.05052189575051,151241148.58442932,30.24352956760086
2022-106/00:00.000000,-136233530.3469293,-60495825.54057359,-25844629.16813664,12.68241884428988,-25.15494651470649,-10.96717203037124,151285374.55901587,30.23067885846265
2022-107/00:00.000000,-135117619.9269424,-62659833.19162058,-26788466.94721,13.14810239674428,-24.93667585659043,-10.88039362722984,151329600.1174428,30.217434783505308
2022-108/00:00.000000,-133961679.4657329,-64804664.71975462,-27724660.26464795,13.60901729997078,-24.71107714020333,-10.79022247391279,151373818.4809702,30.203833967503467
2022-109/00:00.000000,-132766127.2033419,-66929693.03885436,-28652917.41427702,14.06501758894052,-24.47828793544911,-10.69669388322528,151418024.08959976,30.18990824860832
2022-110/00:00.000000,-131531394.2167252,-69034302.38202465,-29572950.01076368,14.51595841989441,-24.23843788672743,-10.59984218988164,151462212.91895714,30.17567852571408
2022-111/00:00.000000,-130257923.4501874,-71117888.18197498,-30484472.42264127,14.96170562169533,-23.99165096379204,-10.49970592720328,151506381.71346298,30.161163366760917
2022-112/00:00.000000,-128946169.0118481,-73179856.1886028,-31387202.7896028,15.40213649535636,-23.73804424392485,-10.39632982433186,151550527.39457008,30.14637999767823
2022-113/00:00.000000,-127596595.1633792,-75219622.15025926,-32280863.19390724,15.8371382269257,-23.47773327325744,-10.28976078392983,151594646.28494903,30.131347196225246
2022-114/00:00.000000,-126209675.594509,-77236611.88272443,-33165179.89097516,16.26660510526945,-23.21083536108666,-10.18004830538099,151638733.79184672,30.116087118185508
2022-115/00:00.000000,-124785892.8426822,-79230261.36900456,-34039883.47923101,16.69043788320715,-22.93746862461758,-10.06724327557673,151682784.2453644,30.100624093333302
2022-116/00:00.000000,-123325737.571052,-81200016.88818438,-34904709.97243982,17.10854195418416,-22.65775222128909,-9.951405392152326,151726790.87209865,30.08498650154872
2022-117/00:00.000000,-121829709.267349,-83145334.88084112,-35759397.71188772,17.52082391179344,-22.37180535365437,-9.83257308365108,151770745.85482857,30.06919418233902
2022-118/00:00.000000,-120298314.5614778,-85065682.38547553,-36603691.1597323,17.92719506454389,-22.07975017793856,-9.710805586829,151814640.31033346,30.053276625811936
