Time                         x (km)            y (km)            z (km)    Dx (km/s)    Dy (km/s)    Dz (km/s)     Distance (km)  Vel. (km/s)
2020-010/00:00:00     -47450751.161     128965669.308      55976845.092      -29.023       -9.081       -3.759     148381686.310       30.642
2020-011/00:00:00     -49951246.859     128160880.520      55643247.611      -28.861       -9.549       -3.963     148379612.357       30.657
2020-012/00:00:00     -52437351.118     127315748.179      55292043.232      -28.690      -10.015       -4.167     148378521.260       30.672
2020-013/00:00:00     -54907576.685     126430753.195      54923423.707      -28.485      -10.469       -4.365     148378434.426       30.660
2020-014/00:00:00     -57360680.538     125506297.256      54537545.160      -28.301      -10.931       -4.567     148379318.487       30.680
2020-015/00:00:00     -59797202.080     124542215.212      54134303.888      -28.097      -11.385       -4.767     148381237.372       30.689
2020-016/00:00:00     -62215326.767     123539136.824      53713953.993      -27.880      -11.835       -4.964     148384143.578       30.692
2020-017/00:00:00     -64614865.381     122497152.292      53276510.580      -27.661      -12.283       -5.161     148388071.379       30.702
2020-018/00:00:00     -66994541.030     121416754.605      52822161.473      -27.428      -12.727       -5.357     148392983.558       30.708
2020-019/00:00:00     -69354112.691     120298069.608      52350937.517      -27.186      -13.166       -5.550     148398918.990       30.713
2020-020/00:00:00     -71692361.918     119141606.645      51863032.320      -26.942      -13.605       -5.744     148405833.149       30.724
2020-021/00:00:00     -74008817.008     117947612.827      51358528.176      -26.677      -14.033       -5.934     148413755.370       30.722
2020-022/00:00:00     -76302725.911     116716423.091      50837544.743      -26.418      -14.464       -6.125     148422657.826       30.735
2020-023/00:00:00     -78573103.984     115448563.550      50300281.931      -26.141      -14.887       -6.313     148432549.859       30.738
2020-024/00:00:00     -80819632.848     114144170.941      49746775.999      -25.855      -15.303       -6.498     148443411.898       30.739
2020-025/00:00:00     -83041073.160     112803961.311      49177307.778      -25.567      -15.720       -6.684     148455249.551       30.749
2020-026/00:00:00     -85237221.620     111428018.618      48591891.218      -25.266      -16.128       -6.866     148468040.921       30.751
2020-027/00:00:00     -87406903.806     110017073.473      47990814.831      -24.959      -16.533       -7.048     148481788.771       30.757
2020-028/00:00:00     -89549713.370     108571368.807      47374160.706      -24.639      -16.930       -7.226     148496479.392       30.756
2020-029/00:00:00     -91664827.536     107091431.215      46742131.621      -24.319      -17.326       -7.404     148512094.172       30.764
2020-030/00:00:00     -93751519.967     105577780.186      46094929.724      -23.984      -17.712       -7.578     148528642.731       30.763
2020-031/00:00:00     -95809261.341     104030750.009      45432676.392      -23.646      -18.096       -7.751     148546085.745       30.768
2020-032/00:00:00     -97837096.937     102451090.458      44755675.159      -23.297      -18.472       -7.921     148564443.701       30.768
2020-033/00:00:00     -99834707.534     100838996.824      44063988.975      -22.940      -18.842       -8.089     148583670.817       30.769
